U_id,U_name,U_invest_requirements,U_places,U_fund_stage,U_industry,U_check size max,U_check size min,U_website,U_pic_link
30,"AIP Seed VC
","We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are looking for global projects with AI component.
",Poland,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Industry Agnostic, AI",$400k,$50k,https://aipseed.vc/,https://www.openvc.app/images/funds/recR2OxZK87Wr08S2.jpg
31,Underline Ventures,We invest in Eastern European founders building high-growth startups with global ambitions. We are vertical-agnostic,"Czech Republic, Estonia , Poland, Albania, Belarus, Bosnia-H, Bulgaria, Croatia, Greece, Hungary, Latvia, Lithuania, Moldova, Montenegro, North Macedonia, Romania, Serbia, Slovakia, Slovenia, Ukraine","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Software, Fintech, E-commerce","$1M
",$200k,https://underline.vc/,https://www.openvc.app/images/funds/recjJ6VPbaQmUo6pB.jpg
32,Capital Factory,"We invest in US-based technology companies where we can add additional value through our help with customer, employee, and investor connections. If you only want cash, we are not a fit. Our value is not our check nor its size, it's what we bring to the table. Our primary capital vehicle, is follow-on capital.
",USA,"Early revenue (Series A), Scaling (Series B)","AI, Consumer, Cybersecurity, Fintech, Hardware, Healthcare",$200k,$25k,https://www.capitalfactory.com/,https://www.openvc.app/images/funds/recWrFydM5qmGnARr.jpg
33,Siddharth Roy,I invest in any ideas in general and have no restrictions in the domain,India,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Software, Consumer, AI",$10k,$1k,https://www.linkedin.com/in/siddharthroy2010/,https://www.openvc.app/images/funds/recIIXw318MPaYdb4.jpg
34,Lunar Ventures,We invest in early seed European startups building on the overlaps of software and deep tech,"Germany, Spain, France, UK, Romania, Czech Republic, Italy, Portugal, Belgium, Sweden","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Software, AI, Hardware",$1M,$300k,https://www.openvc.app/images/funds/recFp2IOWJTxDRM3D.jpg,https://www.openvc.app/images/funds/recFp2IOWJTxDRM3D.jpg
35,"Wei Capital Management
","We invest in Deep tech, comparable public listed companies that have a market cap of beyond $100 Billion, elite startup team.",USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Software, AI, Hardware","$10M
",$50k,https://www.weicapitalmanagement.com/,https://www.openvc.app/images/funds/recT2mE1qWMmFcZcH.jpg
36,LvlUp Ventures,We invest in startups with early traction (industry-agnostic) - preferred mature seed companies with 50K min MR,"Canada, USA, India, Malaysia, Singapore, France, Germany, Spain, Sweden, Switzerland, UK, Australia, New Zealand","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Software, Fintech, Consumer", $1M,$200k,https://www.lvlup.ventures/,https://www.openvc.app/images/funds/recrw4qRk7OgQg3RF.jpg
37,"Fund Fashion VC
","We invest in companies empowering Africa’s creative economy through fashion innovation. We back early-stage startups using AI, AR/VR, Web3, and SaaS solutions to drive sustainability, supply chain efficiency, and digital commerce. We invest in visionary founders merging fashion, culture, and technology to build scalable, impact-driven businesses that redefine the future of Africa’s fashion ecosystem.","USA, Israel, UK, Nigeria","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Creative Industries, AI",$1k,$1k,https://fundfashionvc.com/,https://www.openvc.app/images/funds/recy6Y4pJVW7s7DfY.jpg
38,Michael Broome,"I invest in opportunities where I can combine my entrepreneurial and investing experience to help founders build enduring companies. I want to work alongside visionary teams tackling big problems, where I can contribute capital, strategic guidance, and operational insight",USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Industry Agnostic, Venture Capital",$500k,$25k,https://www.linkedin.com/in/michael-broome-building,https://www.openvc.app/images/funds/recXn4vEpvYrjDJbM.jpg
39,Noah Shamus,I invest in atoms+bits,USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Software, Infrastructure",$100k,$1k,https://www.linkedin.com/in/noah-shamus/,https://www.openvc.app/images/funds/recfWSwaJG0kmJjZu.jpg
40,"cyber.fund
",We invest in AI and Blockchain,"USA, UK","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)","AI, Blockchain",$5M,$250k,https://cyber.fund/,https://www.openvc.app/images/funds/rec04yJbcKJ8PR2dR.jpg
41,HTGF High-Tech Gründerfonds,"We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture should not be older than 3 years (since incorporation) and have a distinct focus on the German market.","Austria, Belgium, Denmark, France, Germany, Italy, Netherlands, Spain, Sweden, Switzerland, Finland","Prototype (Seed), Early revenue (Series A)","Software, AI, DevTools",$1M,$300k,https://www.htgf.de/en/,https://www.openvc.app/images/funds/rectoRcYjkV5yvPS2.jpg
42,Francois-Gerald Hochard,"I invest in scientific and technical founders building in AI, cybersecurity, quantum computing, defense tech or industrial automation. I look for strong IP or research roots and high-impact use cases.",France,"Idea (Pre-Seed), Prototype (Seed)","AI, Cybersecurity, Software, Defense Technology",$5k,$1k,https://linkedin.com/in/francois-gerald-hochard,https://www.openvc.app/images/funds/recNGfCKB2P4rIlf2.jpg
43,BKR Capital,"We invest in promising black founders in the technology space.

At BKR Capital, we want funding to be more accessible to innovative companies led by black teams to build wealth for our community and enrich the venture capital space. Our vision is to create a business ecosystem that is more inclusive, from a portfolio perspective - through a wider number of black-led companies receiving catalytic funding, and from an investors perspective - through a wider number of young black professionals trained to become investment managers.","USA, Canada","Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Software, Fintech, Consumer",$1.5M,$200k,https://www.bkrcapital.ca/,https://www.openvc.app/images/funds/recMuHQGWUC4LJcSj.jpg
44,Norselab,"We invest in impact startups primarily in the Nordics.
Investment Themes: Energy Transition, Circularity & Sustainable Food Systems.
Investment Stage: Late Seed to Series A.","Norway, Sweden, Finland, Denmark, UK, Germany, Switzerland, France, Netherlands, Belgium, Austria","Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Energy, Food, Fintech, DevTools",$5M,$1.5M,https://norselab.com/,https://www.openvc.app/images/funds/recUeW0LDZYgdMXdh.jpg
45,Vela Partners,"We invest in AI, machine learning, B2B, developer tools, and fintech companies.","Germany, South Korea, USA","Prototype (Seed), Early revenue (Series A), Scaling (Series B)","AI, Software, Fintech",$2M,$50k,http://vela.partners/,https://www.openvc.app/images/funds/rec7SnNV3Nt7iGVUY.jpg
46,Westmere Ventures,"We invest in capital-efficient, early-stage startups with a focus on SaaS, AI, FinTech, Digital Health, Enterprise Infrastructure, Marketplaces, and the Future of Work. We prioritize companies with strong distribution strategies, scalable B2B solutions, and clear paths to profitability. Our sweet spot includes vertical SaaS, developer tools, generative AI, and data-driven platforms that solve critical pain points in high-growth markets.",USA,"Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","Software, AI, Fintech, Healthcare, Infrastructure, Consumer",$300k,$50k,https://www.westmereventures.com/,https://www.openvc.app/images/funds/recP5zVEl1ennEd5U.jpg
47,Oxford Science Enterprises,"We invest in early-stage life science, AI, software, and deep tech.","Finland, Netherlands, UK, USA","Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","AI, Software",$5M,100k,https://oxfordscienceenterprises.com/,https://www.openvc.app/images/funds/rectcz8SzpTgi6jza.jpg
48,"Fenbushi Capital
","We invest in blockchain-focused companies, including those in fintech and business intelligence.","Australia, Canada, China, Germany, India, Japan, Luxembourg, Nigeria, Portugal, Singapore, Switzerland, UK, USA, Belize, Cayman Islands, Hong Kong","Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","Fintech, Blockchain, Analytics",$5M,$100k,http://www.fenbushi.vc/,https://www.openvc.app/images/funds/recHRE1BIZpM2E6M2.jpg
49,Ground Capital,"We invest in deep tech, Novel AI, Space Tech, Climate Tech, and Future of Computing, targeting startups with market-ready products.","Portugal, Spain, France, Italy, Germany, UK, Israel, Austria, Belgium, Croatia, Estonia","Prototype (Seed), Early revenue (Series A)","AI, Climate",$5M,$250k,https://ground.capital/,https://www.openvc.app/images/funds/reciDOyQ9KwGWSkCt.jpg
50,Colin Weston,"I invest in fintech, regtech, legaltech, proptech","UK, Switzerland","Prototype (Seed), Early revenue (Series A), Scaling (Series B)","Fintech, Legal Tech",$50k,$10k,https://www.linkedin.com/in/colin-weston-6b1b1416/,https://www.openvc.app/images/funds/recJBoUbSuaEAbz1C.jpg
51,3VC,"We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier We...","Austria, Bulgaria+14","Early revenue (Series A), Scaling (Series B)","AI, Analytics, Cybersecurity, DevTools, Hardware, Healthcare",$5M,$1M,https://www.openvc.app/fund/3VC,https://www.openvc.app/images/funds/rec5iJrIoTbeXJU3F.jpg
52,No Brand,"We invest in Australian or New Zealand startups in Seed or Series A rounds. Our areas of interest include: AI, ML,...","Australia, New Zealand","Early revenue (Series A), Scaling (Series B)","AI, Software, Fintech",$1M,$25k,https://www.openvc.app/fund/No%20Brand,https://www.openvc.app/images/funds/rec2z1pZEgUybJBI3.jpg
53,Amit Gogia,I invest in ventures building at the intersection of consumer and healthcare focussed on India. Current portfolio is a...,India,"Early revenue (Series A), Scaling (Series B)","Consumer, Healthcare",$25k,$10k,https://www.openvc.app/fund/Amit%20Gogia,https://www.openvc.app/images/funds/rec6XKylJl6ROgvV8.jpg
54,Vesna Capital,We invest in startups from CEE and Nordic regions at pre-seed and seed stages. Our average check size is $50-200k. We...,"Ukraine, Poland+14","Early revenue (Series A), Scaling (Series B)","Software, Fintech, E-commerce",$200k,$50k,https://www.openvc.app/fund/Vesna%20Capital,https://www.openvc.app/images/funds/rec7230rmZNTOUiIH.jpg
55,Lukkap Venture Lab,We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation...,Spain,"Idea (Pre-Seed), Prototype (Seed)","Software, Consumer, Fintech",$150k,$50k,https://www.openvc.app/fund/Lukkap%20Venture%20Lab,https://www.openvc.app/images/funds/recMaAujdPSjRs8b1.jpg
56,Francis Santora,I invest in companies like this: - $200-500k revenue growing fast - Huge market - Great product - Great founder That...,"Canada, USA+4","Early revenue (Series A), Scaling (Series B)","Software, Consumer, E-commerce",$25k,$10k,https://www.openvc.app/fund/Francis%20Santora,https://www.openvc.app/images/funds/rechqesBT6CLqgqa8.jpg
57,Doug Hickey,I invest in product-first companies that are looking to solve problems for their...,USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Software, Consumer, AI",$200k,$25k,https://www.openvc.app/fund/Doug%20Hickey,https://www.openvc.app/images/funds/recricy144rMMbHOI.jpg
58,KXVC,"We invest in AI pillars including Cybersecurity, AI Data Infrastructure and Enterprise AI, preferably with current...","USA, UK+1","Early revenue (Series A), Scaling (Series B)","AI, Cybersecurity, Infrastructure",$3M,$1M,https://www.openvc.app/fund/KXVC,https://www.openvc.app/images/funds/rec2Bp0rebmpkmzLf.jpg
59,HTGF High-Tech Gründe...,"We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture...","Austria, Belgium+9","Prototype (Seed), Early revenue (Series A)","Software, AI, DevTools",$1M,$300k,https://www.openvc.app/fund/HTGF%20High-Tech%20Gr%C3%BCnderfonds,https://www.openvc.app/images/funds/rectoRcYjkV5yvPS2.jpg
60,Ascendo VC,We invest in Seed to Series A Companies led by founders from underrepresented segments. Technology-based business...,USA,"Prototype (Seed), Early revenue (Series A)","Software, AI, Fintech",$500k,$100k,https://www.openvc.app/fund/Ascendo%20VC,https://www.openvc.app/images/funds/rec9skLoYah4AtTmj.jpg
61,Cambridge Innovation C...,"We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",UK,"Prototype (Seed), Early revenue (Series A)","AI, Biotech, Climate, Hardware, Software",$10M,$1M,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
62,Okya Ventures,"We invest in pre-seed/seed stage startups with the following focus areas: AI/ML, Deep Tech, Enterprise Software,...",USA,"Prototype (Seed), Early revenue (Series A)","AI, Hardware, Software",$200k,$100k,https://www.openvc.app/fund/Okya%20Ventures,https://www.openvc.app/images/funds/recOPW02gsyzoRpxS.jpg
63,Team8,"We invest in, Cyber, FinTech, Enterprise Applications, Infrastructure & DevOps",Israel,"Idea (Pre-Seed), Prototype (Seed)","DevTools, Fintech, Infrastructure",$20M,$1M,https://www.openvc.app/fund/Team8,https://www.openvc.app/images/funds/recBs6XhJsM1Fy0YE.jpg
64,500 Istanbul,"We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the...","Turkey, Poland+18","Prototype (Seed), Early revenue (Series A)","Software, Fintech, E-commerce",$1M,$150k,https://www.openvc.app/fund/500%20Istanbul,https://www.openvc.app/images/funds/recC4Yx4ZSzwjrRD3.jpg
65,Via ID,"We invest in European-based startups in the sustainable mobility (micromobility, electric vehicles, connected vehicles,...","Austria, Belgium+26","Prototype (Seed), Early revenue (Series A)","Logistics, Climate, Energy",$5M,$300k,https://www.openvc.app/fund/Via%20ID,https://www.openvc.app/images/funds/recIN6myiB96exApd.jpg
66,SCE Freiraum Ventures,We invest in early-stage teams that have developed a scalable business idea with initial traction and a defensible...,"Germany, Austria+10","Prototype (Seed), Early revenue (Series A)","Software, AI, Consumer",$150k,$50k,https://www.openvc.app/fund/SCE%20Freiraum%20Ventures,https://www.openvc.app/images/funds/rec0CXaqwTROVQb84.jpg
67,Jeeny,"We invest in startups in Post-Seed and Pre-Series A stages that have created tangible momentum in ride-hailing,...","India, Pakistan+9","Early revenue (Series A), Scaling (Series B)","Software, Consumer, Fintech",$5M,$50k,https://www.openvc.app/fund/Jeeny,https://www.openvc.app/images/funds/recM7yg9hvjhj9Or0.jpg
68,Barak Edut,"I invest in scalable, consumer-focused products or platforms that have demonstrated strong product-market fit and are...","USA, China+5","Prototype (Seed), Early revenue (Series A), Idea (Pre-Seed)","Consumer, E-commerce, Software",$100k,$5k,https://www.openvc.app/fund/Barak%20Edut,https://www.openvc.app/images/funds/recKkfXNrzGkymSW1.jpg
69,Sufeng Li,I invest in Fintech/AI/Future way of work,"Belgium, Denmark+11","Idea (Pre-Seed), Prototype (Seed)","AI, Fintech",$100k,$5k,https://www.openvc.app/fund/Sufeng%20Li,https://www.openvc.app/images/funds/recmMaVLGwlGWQm9T.jpg
70,OTP Ventures,"We invest in consumer brands, consumer tech/platforms, fintech, and Agritech at the seed or pre-Series A stage,...",India,"Prototype (Seed), Early revenue (Series A)","Agriculture, Consumer, Fintech",$2M,$500k,https://www.openvc.app/fund/OTP%20Ventures,https://www.openvc.app/images/funds/recB3NeeZkjiJy4n3.jpg
71,BDev Ventures,We invest in B2B businesses that target large markets in terms of contacts and have moved beyond founder-led sales. We...,"Brazil, Canada+4","Early revenue (Series A), Scaling (Series B), Idea (Pre-Seed)","Software, Fintech, E-commerce",$3M,$50k,https://www.openvc.app/fund/BDev%20Ventures,https://www.openvc.app/images/funds/recwh2QmWF0hsoKGN.jpg
72,SET Ventures,"We invest in their early growth stage and must have a strong digital DNA, building a solution for the energy system...","Belgium, Denmark+15","Early revenue (Series A), Scaling (Series B)","Energy, Climate, Software",$6M,$1M,https://www.openvc.app/fund/SET%20Ventures,https://www.openvc.app/images/funds/recqMfX8pl2UOsNC6.jpg
73,Katha VC,We invest in Pre-Seed and Seed High Growth Markets Fintech. We also consider non-fintech companies where embedded...,"Botswana, Kenya+23","Prototype (Seed), Early revenue (Series A)","Fintech, Software, AI",$500k,$100k,https://www.openvc.app/fund/Katha%20VC,https://www.openvc.app/images/funds/recPHuZihRMJFpLS6.jpg
74,TSP Ventures,We invest in UK-based Climate / CleanTech and InsurTech companies (from Pre Seed to Seed Extension rounds)...,UK,"Early revenue (Series A), Prototype (Seed), Idea (Pre-Seed)","Climate, Fintech",$700k,$70k,https://www.openvc.app/fund/TSP%20Ventures,https://www.openvc.app/images/funds/recP3NKyUMH7vH68M.jpg
75,First Momentum Venture...,We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in...,"Albania, Andorra+39","Idea (Pre-Seed), Prototype (Seed)","Software, AI, DevTools",$1M,$200k,https://www.openvc.app/fund/First%20Momentum%20Ventures,https://www.openvc.app/images/funds/recH5m8UW5yJUsCeb.jpg
76,Rubio Impact Ventures,"We invest in climatetech, food & agri, circular businesses, education, work, wellbeing and public resilience (Seed and...","Austria, Belgium+15","Prototype (Seed), Early revenue (Series A), Idea (Pre-Seed)","Agriculture, Climate, Education, Food",$5M,$500k,https://www.openvc.app/fund/Rubio%20Impact%20Ventures,https://www.openvc.app/images/funds/recMEU8mG7INa0oGh.jpg
